team,player,pos,value [m],xV GW1 [k],xV GW1-3 [k],xV GW1-5 [k],xV seas [k],xP%gebyr_GW_1-3 [k],xP_GW_1-3 [k],xG_GW_1-3,xGI_GW_1-3,xP_GW1 [k],xV GW1 [k],xP%gebyr_GW1 [k],xG_GW1,xGI_GW1,xP%gebyr_GW_1-5 [k],xP_GW_1-5 [k],xG_GW_1-5,xGI_GW_1-5,xP_GW_all [k],xG_GW_all,xGI_GW_all,xP%gebyr_GW_all [k],sp_GW1,xGP,pop,xG%,xA%,game
BEN,J. Draxler,M,3.0,-1.7,-0.6,-0.3,-0.3,-35.0,-5.0,0.0,0.0,-5.0,-1.7,-35.0,0.0,0.0,-35.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.11,0.16,CLK
BEN,F. Aursnes,M,2.6,18.8,6.3,3.8,3.1,22.7,48.6,0.07,0.2,48.6,18.8,22.7,0.07,0.2,22.7,48.6,0.07,0.2,48.6,0.07,0.2,22.7,1.0,1.0,32.17,0.04,0.1,CLK
BEN,Chiquinho,M,2.6,17.1,5.7,3.4,2.9,18.2,43.7,0.07,0.11,43.7,17.1,18.2,0.07,0.11,18.2,43.7,0.07,0.11,43.7,0.07,0.11,18.2,1.0,1.0,3.61,0.04,0.03,CLK
BEN,A. Schjelderup,M,2.5,-2.0,-0.7,-0.4,-0.3,-30.0,-5.0,0.0,0.0,-5.0,-2.0,-30.0,0.0,0.0,-30.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-30.0,0.0,0.0,1.17,0.21,0.15,CLK
BEN,J. Neves,M,2.0,-2.5,-0.8,-0.5,-0.4,-25.3,-5.0,0.0,0.0,-5.0,-2.5,-25.3,0.0,0.0,-25.3,-5.0,0.0,0.0,-5.0,0.0,0.0,-25.3,0.0,0.0,0.0,0.07,0.09,CLK
BEN,D. Moreira,M,2.0,-2.5,-0.8,-0.5,-0.4,-25.0,-5.0,0.0,0.0,-5.0,-2.5,-25.0,0.0,0.0,-25.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-25.0,0.0,0.0,0.52,0.14,0.15,CLK
BEN,G. Ramos,A,4.6,30.5,10.2,6.1,5.1,93.4,139.0,0.59,0.76,139.0,30.5,93.4,0.59,0.76,93.4,139.0,0.59,0.76,139.0,0.59,0.76,93.4,1.0,1.0,31.6,0.31,0.13,CLK
BEN,G. Guedes,A,3.0,-1.6,-0.5,-0.3,-0.3,-35.4,-5.0,0.0,0.0,-5.0,-1.6,-35.4,0.0,0.0,-35.4,-5.0,0.0,0.0,-5.0,0.0,0.0,-35.4,0.0,0.0,29.54,0.2,0.14,CLK
BEN,P. Musa,A,3.0,-1.7,-0.6,-0.3,-0.3,-35.0,-5.0,0.0,0.0,-5.0,-1.7,-35.0,0.0,0.0,-35.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-35.0,0.0,0.0,0.07,0.17,0.16,CLK
BEN,C. Tengstedt,A,2.5,-2.0,-0.7,-0.4,-0.3,-30.0,-5.0,0.0,0.0,-5.0,-2.0,-30.0,0.0,0.0,-30.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.16,0.02,CLK
