team_short,xp/mio GW1-3 [k],xp/mio GW1 [k],xCS_GW1-3,xG_GW1-3,xp/player GW1-3 [k],program,xp/player_seas [k],xCS_GW1,xG_GW1,xCS_seas,xG_seas,xp/mio_seas [k],APP [m],game
VFB,6.9,2.8,0.57,3.2,20.4,"GW1[h]BAY, GW2[a]FFM, GW3[h]WOB, GW4[a]UBL, GW5[a]BOC, ",29.5,0.1,0.85,2.69,15.94,9.9,3.0,BL
BSC,6.5,3.5,0.63,3.14,20.4,"GW1[a]B04, GW2[h]M05, GW3[a]HOF, GW4[a]SCF, GW5[h]RBL, ",20.8,0.16,0.82,2.57,12.96,6.6,3.2,BL
BEN,6.7,20.0,0.51,1.87,25.4,"GW1[h]BRU, ",12.7,0.51,1.87,0.51,1.87,3.3,3.8,CL
MAC,5.9,17.7,0.45,2.27,27.6,"GW1[h]RBL, ",13.8,0.45,2.27,0.45,2.27,3.0,4.7,CL
NAP,5.6,16.9,0.46,1.78,23.0,"GW1[h]FFM, ",11.5,0.46,1.78,0.46,1.78,2.8,4.1,CL
CHE,4.4,13.3,0.42,1.53,20.1,"GW1[h]BVB, ",10.0,0.42,1.53,0.42,1.53,2.2,4.5,CL
TOT,3.8,11.4,0.41,1.4,17.1,"GW1[h]ACM, ",8.6,0.41,1.4,0.41,1.4,1.9,4.5,CL
INT,3.6,10.7,0.32,1.21,15.8,"GW1[a]FCP, ",7.9,0.32,1.21,0.32,1.21,1.8,4.4,CL
BAY,3.2,9.5,0.29,1.76,18.8,"GW1[h]PSG, ",9.4,0.29,1.76,0.29,1.76,1.6,5.9,CL
FCP,3.0,8.9,0.3,1.15,11.5,"GW1[h]INT, ",5.7,0.3,1.15,0.3,1.15,1.5,3.9,CL
RMA,2.9,8.7,0.29,1.57,16.3,"GW1[h]LIV, ",8.2,0.29,1.57,0.29,1.57,1.5,5.6,CL
LIV,2.7,8.1,0.21,1.24,13.2,"GW1[a]RMA, ",6.6,0.21,1.24,0.21,1.24,1.4,4.9,CL
